Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,WHH,WHD,WHA
17/03/2024,Villarreal,Valencia,H,2.05,3.5,3.6,2.1,3.4,3.4
17/03/2024,Vallecano,Betis,H,2.5,3.25,3,2.45,3.25,2.9
17/03/2024,Ath Madrid,Barcelona,A,2.38,3.6,2.8,2.3,3.8,2.75
29/03/2024,Cadiz,Granada,H,2,3.3,4.2,2,3.3,3.9
30/03/2024,Getafe,Sevilla,A,2.55,3.1,3,2.5,3,3.1
30/03/2024,Almeria,Osasuna,A,2.63,3.2,2.8,2.62,3.1,2.8
30/03/2024,Valencia,Mallorca,D,2.05,3,4.2,2.1,2.8,4.5
30/03/2024,Barcelona,Las Palmas,H,1.25,6.5,10,1.25,6,10
31/03/2024,Celta,Vallecano,D,1.95,3.3,4,1.91,3.5,4
31/03/2024,Girona,Betis,H,1.75,3.8,4.75,1.75,4,4.2
31/03/2024,Alaves,Sociedad,A,3.5,2.9,2.38,3.4,2.88,2.4
31/03/2024,Real Madrid,Ath Bilbao,H,1.53,4.33,6,1.53,4.2,5.8
01/04/2024,Villarreal,Ath Madrid,A,2.9,3.75,2.25,2.9,3.75,2.2
04/04/2024,Granada,Valencia,A,3.4,3.1,2.3,3.2,3.25,2.25
12/04/2024,Betis,Celta,H,2.1,3.4,3.5,2,3.5,3.6
13/04/2024,Ath Madrid,Girona,H,1.91,3.6,3.8,1.95,3.8,3.5
13/04/2024,Vallecano,Getafe,D,2.2,3,3.7,2.2,3,3.7
13/04/2024,Mallorca,Real Madrid,A,5,3.6,1.75,4.75,3.6,1.75
13/04/2024,Cadiz,Barcelona,A,4.33,3.6,1.83,4.2,3.7,1.8
14/04/2024,Las Palmas,Sevilla,A,2.7,3.2,2.7,2.7,3.25,2.62
14/04/2024,Granada,Alaves,H,3,3,2.55,3,3.1,2.45
14/04/2024,Ath Bilbao,Villarreal,D,1.75,4,4.33,1.75,3.9,4.33
14/04/2024,Sociedad,Almeria,D,1.33,5,10,1.3,5.5,10
15/04/2024,Osasuna,Valencia,A,2.2,3.1,3.75,2.15,3.2,3.6
19/04/2024,Ath Bilbao,Granada,D,1.25,6,11,1.25,5.8,11
20/04/2024,Celta,Las Palmas,H,1.73,3.75,5,1.73,3.7,4.8
20/04/2024,Vallecano,Osasuna,H,2.2,3.1,3.6,2.15,3.2,3.5
20/04/2024,Valencia,Betis,A,2.2,3.2,3.5,2.15,3.3,3.5
20/04/2024,Girona,Cadiz,H,1.4,4.75,8,1.4,4.75,7.5
